N,epsilon,method,beta,lambda,sigma_sq,mse,loss,sse,fp,sr,hyperparams
3000,,adaptive_lasso,"[0.03282108403807114, 0.0, 1.1289108057579789, -0.021224750436788068, 0.02499271094082763, 0.036586035585271987, 0.0, 0.012453370319251419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8032276165899865, 0.0, 0.0, -0.4126039749051069, 0.0, -0.018554052085051814, 0.0, 0.7341702713856795, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01390406096698863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011807003640196646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01293124304909151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0086021679611572, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012902301058889301, 0.0, 0.0, 0.0, 0.0, 0.03441544564893335, 0.0, 0.0, 0.0, 0.0, 0.021919321053849784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026432172489914984, 0.0, 0.0, -0.04219235088184069, 3020.051205622298, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.024010769546013763, -0.03684152725059596, 0.0, 0.04050161078182571, 0.0, 0.0, -0.07128440249938924, -0.022091036888405313, 0.0, 0.0, 0.0, 0.0, 0.0]",2.057906680570897e-149,8.73175785118866e-178,8844537.591200447,,9114670.6712244,19,False,{'best_r': np.float64(0.0206913808111479)}
3000,0.1,private_adaptive_lasso,"[0.4504998028278351, 0.0, 0.9978704452514648, 0.41102391481399536, 0.4255213737487793, 0.3920208513736725, 0.0, 0.45461305975914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0710242986679077, 0.0, 0.0, -0.08545008301734924, 0.0, 0.37621888518333435, 0.0, 0.9646810293197632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3812456429004669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4221072196960449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4891884922981262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0252951383590698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3983061909675598, 0.0, 0.0, 0.0, 0.0, 0.4620612561702728, 0.0, 0.0, 0.0, 0.0, 0.4369380474090576, 0.0, 0.0, 0.0, 0.3447798192501068, 0.0, 0.0, 0.4115837812423706, 0.0, 0.0, 0.3854500651359558, 1.0630834102630615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3726775050163269, 0.37250661849975586, 0.0, 0.47768351435661316, 0.0, 0.0, 0.41410407423973083, 0.389811635017395, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5749472379684448,2.2366044521331787,4.722282886505127,5.520082950592041,4.294174562671392,20,False,{}
3000,0.5,private_adaptive_lasso,"[0.4109758138656616, 0.0, 0.9992969036102295, 0.4034116864204407, 0.4565984308719635, 0.4290357530117035, 0.0, 0.4352772831916809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0545463562011719, 0.0, 0.0, -0.027943221852183342, 0.0, 0.3791743218898773, 0.0, 0.9630112648010254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4181411564350128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4149872064590454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5026669502258301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0203315019607544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.373897522687912, 0.0, 0.0, 0.0, 0.0, 0.47179916501045227, 0.0, 0.0, 0.0, 0.0, 0.4480542540550232, 0.0, 0.0, 0.0, 0.3438838720321655, 0.0, 0.0, 0.413505882024765, 0.0, 0.0, 0.4007856249809265, 1.038843035697937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3722955286502838, 0.3722322881221771, 0.0, 0.47394004464149475, 0.0, 0.0, 0.45537930727005005, 0.3866991400718689, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5784851312637329,2.227060317993164,4.917417049407959,6.658013343811035,4.480031675239005,20,False,{}
3000,1.0,private_adaptive_lasso,"[0.42192062735557556, 0.0, 1.012563943862915, 0.4061867892742157, 0.4360680878162384, 0.43965232372283936, 0.0, 0.4633590877056122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0607624053955078, 0.0, 0.0, 0.011025271378457546, 0.0, 0.3926876485347748, 0.0, 0.9606665372848511, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3740130364894867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4732446074485779, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5011136531829834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0235424041748047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3860452175140381, 0.0, 0.0, 0.0, 0.0, 0.4737529754638672, 0.0, 0.0, 0.0, 0.0, 0.4396871328353882, 0.0, 0.0, 0.0, 0.3765891194343567, 0.0, 0.0, 0.42061352729797363, 0.0, 0.0, 0.39636075496673584, 1.0584983825683594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43543651700019836, 0.34816575050354004, 0.0, 0.49460336565971375, 0.0, 0.0, 0.42451798915863037, 0.3789116144180298, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5811137557029724,2.2463386058807373,5.096909999847412,5.957270622253418,4.663746945114299,20,False,{}
